iter	PRAUC:type=Classic	Logloss
258	0.9923221233	0.1329776848
259	0.992331874	0.1328635115
260	0.9923799815	0.1325246792
261	0.9924095799	0.1321975593
262	0.9924319026	0.1319457639
263	0.9924581488	0.1318073215
264	0.9924751648	0.1316103411
265	0.9925119678	0.1313489848
266	0.9925732354	0.1309874918
267	0.9925856592	0.1308220688
268	0.9926251586	0.1305332697
269	0.9926453636	0.1303237924
270	0.9926632387	0.1301800442
271	0.9926915408	0.1299543151
272	0.9927225885	0.1295771212
273	0.992742859	0.1293888179
274	0.9927610234	0.1292479935
275	0.9927775195	0.129052709
276	0.9928031658	0.1287934978
277	0.9928111982	0.1287191777
278	0.9928363101	0.1285483231
279	0.9928875112	0.1283185303
280	0.9928982749	0.1282142817
281	0.9929007326	0.1281437595
282	0.9929727424	0.1278299224
283	0.9930088919	0.1275334432
284	0.9930362508	0.1273665284
285	0.9930497078	0.1273198667
286	0.9930865157	0.1271288672
287	0.9931098056	0.1268872039
288	0.9931220259	0.126780497
289	0.9931626082	0.1265247233
290	0.9931903277	0.126307569
291	0.9932053154	0.1262067842
292	0.9932354364	0.1259310572
293	0.9932556842	0.1257702344
294	0.9932769927	0.1256194973
295	0.9933250872	0.1252267761
296	0.9933417512	0.125088885
297	0.9933635184	0.124911905
298	0.9934378514	0.1245061734
299	0.993455694	0.124389332
300	0.9934981095	0.1241000945
301	0.993530923	0.1238649665
302	0.9935485388	0.1236162543
303	0.9935719508	0.1234631112
304	0.9935823373	0.1234201401
305	0.9936043129	0.1232064149
306	0.9936280313	0.1229987045
307	0.9936628436	0.1225994289
308	0.993671028	0.1224629096
309	0.9937353047	0.1220332792
310	0.9937476956	0.1219426434
311	0.9937857668	0.1217071866
312	0.9938189162	0.1213975368
313	0.9938456922	0.1213303075
314	0.9938586028	0.1212505486
315	0.9938826278	0.1210894148
316	0.9939013107	0.1208646954
317	0.9939192689	0.1207303657
318	0.9939693352	0.1204675887
319	0.9939982035	0.12031691
320	0.9940284029	0.1200684643
321	0.9940540145	0.1198033218
322	0.9940766098	0.1196601342
323	0.994085286	0.119612421
324	0.9941105985	0.1194004455
325	0.9941143471	0.119377572
326	0.9941317623	0.1191891258
327	0.994145473	0.1190632808
328	0.9942009011	0.1186947741
329	0.9942057053	0.1184930252
330	0.9942278981	0.1183091252
331	0.9942732688	0.1179690819
332	0.9943234291	0.1175180288
333	0.9943370067	0.1174292159
334	0.9943470391	0.1173485911
335	0.9943781723	0.1171515365
336	0.9944239343	0.1167914197
337	0.9944496114	0.1165978036
338	0.9944682918	0.1164084378
339	0.9944766714	0.1163504388
340	0.9945161469	0.1160734997
341	0.9945369614	0.1158153091
342	0.9945452429	0.1157899825
343	0.9945684015	0.1156381362
344	0.9945850438	0.1154278941
345	0.9946196747	0.1152849016
346	0.9946334154	0.1151570311
347	0.9946526772	0.1150009337
348	0.9946578836	0.1149365325
349	0.9947096863	0.1146560081
350	0.9947456622	0.1143745468
351	0.9947614211	0.1142223758
352	0.9948063056	0.1139210241
353	0.9948177402	0.1137769055
354	0.994891677	0.1132602619
355	0.9948971456	0.1132168426
356	0.9949257504	0.1129819862
357	0.9949471895	0.1128058352
358	0.9949573811	0.1127557062
359	0.9949643904	0.1127185811
360	0.9949713045	0.1126565214
361	0.994983146	0.1126135887
362	0.9950076757	0.1123235578
363	0.9950240187	0.1121971535
364	0.9950329481	0.1121585108
365	0.995064825	0.1118070254
366	0.9950724266	0.1116925724
367	0.9950799557	0.1116594651
368	0.9950996796	0.1115279441
369	0.9951032107	0.111500024
370	0.9951184028	0.1113401922
371	0.9951415953	0.1111407807
372	0.9951596144	0.1109849631
373	0.9951643054	0.1109354557
374	0.9952220164	0.1105376874
375	0.9952388844	0.1102489468
376	0.9952441955	0.1102135045
377	0.995296071	0.1098336564
378	0.9953280403	0.1095337469
379	0.9953308072	0.109509331
380	0.9953463854	0.1093409607
381	0.9953557026	0.1091889985
382	0.9954010825	0.1088192517
383	0.99541187	0.1086736912
384	0.9954183915	0.1086226186
385	0.995437023	0.108374079
386	0.9954930467	0.1078889062
387	0.995513736	0.1076498554
388	0.9955304996	0.1075079291
389	0.9955562354	0.1071604885
390	0.99557223	0.1068874821
391	0.9955887154	0.1066383032
392	0.9956085759	0.1065214783
393	0.9956153455	0.1064188913
394	0.9956203969	0.1063813182
395	0.9956597283	0.1061229984
396	0.9956803073	0.1058358208
397	0.9956893333	0.1057258542
398	0.9957111925	0.1054740168
399	0.9957429331	0.1052064528
